employeeNum,riceSubsidy,phoneAllowance,clothingAllowance
10001,1500,2000,1000
10002,1500,2000,1000
10003,1500,2000,1000
10004,1500,2000,1000
10005,1500,1000,1000
10006,1500,1000,1000
10007,1500,800,800
10008,1500,500,500
10009,1500,500,500
10010,1500,1000,1000
10011,1500,1000,1000
10012,1500,800,800
10013,1500,500,500
10014,1500,500,500
10015,1500,1000,1000
10016,1500,800,800
10017,1500,800,800
10018,1500,500,500
10019,1500,500,500
10020,1500,500,500
10021,1500,500,500
10022,1500,500,500
10023,1500,500,500
10024,1500,500,500
10025,1500,500,500
10026,1500,500,500
10027,1500,500,500
10028,1500,500,500
10029,1500,500,500
10030,1500,500,500
10031,1500,500,500
10032,1500,1000,1000
10033,1500,1000,1000
10034,1500,1000,1000
