employeeNum,month,year,grossSalary,netMonthlySalary
10001,June,2024,94500,62358.82
10001,July,2024,94500,62358.82
10001,August,2024,94500,62358.82
10001,September,2024,94500,62358.82
10001,October,2024,94500,62358.82
10001,November,2024,94500,62358.82
10001,December,2024,94500,62358.82
10001,January,2025,94500,62358.82
10001,February,2025,94500,62358.82
10002,June,2024,64500,43887.25
10002,July,2024,64500,43887.25
10002,August,2024,64500,43887.25
10002,September,2024,64500,43887.25
10002,October,2024,64500,43887.25
10002,November,2024,64500,43887.25
10002,December,2024,64500,43887.25
10002,January,2025,64500,43887.25
10002,February,2025,64500,43887.25
10003,June,2024,69000,46785.50
10003,July,2024,69000,46785.50
10003,August,2024,69000,46785.50
10003,September,2024,69000,46785.50
10003,October,2024,69000,46785.50
10003,November,2024,69000,46785.50
10003,December,2024,69000,46785.50
10003,January,2025,69000,46785.50
10003,February,2025,69000,46785.50
10004,June,2024,64500,52038.25
10004,July,2024,64500,52038.25
10004,August,2024,64500,52038.25
10004,September,2024,64500,52038.25
10004,October,2024,64500,52038.25
10004,November,2024,64500,52038.25
10004,December,2024,64500,52038.25
10004,January,2025,64500,52038.25
10004,February,2025,64500,52038.25
10005,June,2024,57170,39402.15
10005,July,2024,57170,39402.15
10005,August,2024,57170,39402.15
10005,September,2024,57170,39402.15
10005,October,2024,57170,39402.15
10005,November,2024,57170,39402.15
10005,December,2024,57170,39402.15
10005,January,2025,57170,39402.15
10005,February,2025,57170,39402.15
10006,June,2024,56170,45915.70
10006,July,2024,56170,45915.70
10006,August,2024,56170,45915.70
10006,September,2024,56170,45915.70
10006,October,2024,56170,45915.70
10006,November,2024,56170,45915.70
10006,December,2024,56170,45915.70
10006,January,2025,56170,45915.70
10006,February,2025,56170,45915.70
